email,full_name,pronouns,faculty,interest1,interest2,interest3,interest4,interest5,imp1,imp2,imp3,imp4,imp5,position,faculty ,status,matched_interest,matched_imp
k8 ,k8 rors 3,She/her,Arts,Academics,Politics and Debate,Sports/Health,"Art (Visual Arts, Music, Theatre, etc.)",Religious and Cultural Identity,Interests,,,,,mentor,,1,"Academics, Academics","Interests, Interests"
somebody1@queensu.ca,i am running out of names,They/them,,Social Issues and Advocacy,Religious and Cultural Identity,Politics and Debate,"Art (Visual Arts, Music, Theatre, etc.)",Academics,LGBTQIA2+ Community,Gender,BIPOC Community,Faculty,Interests,mentee,Arts,1,"Politics and Debate, Politics and Debate","Interests, Interests"
hey4,hey4,She/her,Arts,Politics and Debate,Social Issues and Advocacy,Sports/Health,,,Interests,Faculty,,,,mentor,,1,"Politics and Debate, Politics and Debate","Interests, Interests"
k8 4,k8e rors,She/her,,Academics,,,,,Gender,,,,,mentee,Comp-Sci,1,,"Gender, Gender"
k8,kate rors,She/her,Science,Academics,,,,,Gender,BIPOC Community,LGBTQIA2+ Community,Faculty,Interests,mentor,,1,,"Gender, Gender"
somebody2@queensu.ca,taylor swift,She/her,,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,Academics,Social Issues and Advocacy,Religious and Cultural Identity,Interests,Faculty,Gender,BIPOC Community,LGBTQIA2+ Community,mentee,Arts,1,"Politics and Debate, Politics and Debate","Interests, Interests"
hey5,hey5,She/her,Science,Politics and Debate,Sports/Health,Social Issues and Advocacy,"Art (Visual Arts, Music, Theatre, etc.)",,Interests,Faculty,Gender,,,mentor,,1,"Politics and Debate, Politics and Debate","Interests, Interests"
somebody3@queensu.ca,olivia rodriguez,She/her,,"Art (Visual Arts, Music, Theatre, etc.)",Academics,Social Issues and Advocacy,Religious and Cultural Identity,Politics and Debate,Interests,Faculty,Gender,LGBTQIA2+ Community,BIPOC Community,mentee,Con-Ed Arts,1,"Academics, Academics","Interests, Interests"
someone1@queensu.ca,ant man,He/him,Science,Academics,Social Issues and Advocacy,Politics and Debate,Sports/Health,Religious and Cultural Identity,Interests,Faculty,BIPOC Community,LGBTQIA2+ Community,Gender,mentor,,1,"Academics, Academics","Interests, Interests"
somebody4@queensu.ca,JP Saxe,He/him,,"Art (Visual Arts, Music, Theatre, etc.)",Religious and Cultural Identity,Politics and Debate,Academics,Social Issues and Advocacy,Faculty,Interests,Gender,BIPOC Community,LGBTQIA2+ Community,mentee,Con-Ed Arts,1,,"BIPOC Community, BIPOC Community"
someone2@queensu.ca,bruce banner,He/him,Science,Academics,Sports/Health,Politics and Debate,Social Issues and Advocacy,"Art (Visual Arts, Music, Theatre, etc.)",BIPOC Community,Faculty,Interests,LGBTQIA2+ Community,Gender,mentor,,1,,"BIPOC Community, BIPOC Community"
somebody5@queensu.ca,julia michaels,She/her,,Academics,"Art (Visual Arts, Music, Theatre, etc.)",Religious and Cultural Identity,Sports/Health,Social Issues and Advocacy,LGBTQIA2+ Community,Gender,BIPOC Community,Faculty,Interests,mentee,Arts,1,,"LGBTQIA2+ Community, LGBTQIA2+ Community"
someone3@queensu.ca,black widow,She/her,Kinesiology,Sports/Health,Social Issues and Advocacy,Politics and Debate,"Art (Visual Arts, Music, Theatre, etc.)",Religious and Cultural Identity,LGBTQIA2+ Community,Interests,BIPOC Community,Gender,Faculty,mentor,,1,,"LGBTQIA2+ Community, LGBTQIA2+ Community"
somebody6@queensu.ca,percy jackson,He/him,,Academics,Religious and Cultural Identity,Sports/Health,Social Issues and Advocacy,"Art (Visual Arts, Music, Theatre, etc.)",Interests,Faculty,Gender,BIPOC Community,LGBTQIA2+ Community,mentee,Science,1,"Academics, Academics","Interests, Interests"
someone4@queensu.ca,doctor strange,He/him,Science,Academics,Politics and Debate,Social Issues and Advocacy,Sports/Health,Religious and Cultural Identity,Faculty,Interests,Gender,BIPOC Community,LGBTQIA2+ Community,mentor,,1,"Academics, Academics","Interests, Interests"
somebody7@queensu.ca,grover underwood,He/him,,Religious and Cultural Identity,Social Issues and Advocacy,Politics and Debate,Sports/Health,Academics,BIPOC Community,Gender,Faculty,Interests,LGBTQIA2+ Community,mentee,Arts,1,"Social Issues and Advocacy, Social Issues and Advocacy","Interests, Interests"
someone5@queensu.ca,selena gomez,She/her,Arts,"Art (Visual Arts, Music, Theatre, etc.)",Social Issues and Advocacy,Politics and Debate,,,Interests,LGBTQIA2+ Community,BIPOC Community,Faculty,Gender,mentor,,1,"Social Issues and Advocacy, Social Issues and Advocacy","Interests, Interests"
somebody8@queensu.ca,apollo,They/them,,Sports/Health,"Art (Visual Arts, Music, Theatre, etc.)",Religious and Cultural Identity,Politics and Debate,Social Issues and Advocacy,LGBTQIA2+ Community,BIPOC Community,Gender,Interests,Faculty,mentee,Arts,1,,"LGBTQIA2+ Community, LGBTQIA2+ Community"
someone7@queensu.ca,captain marvel,She/her,CompSci,Social Issues and Advocacy,Politics and Debate,Academics,"Art (Visual Arts, Music, Theatre, etc.)",Sports/Health,LGBTQIA2+ Community,Interests,BIPOC Community,Gender,Faculty,mentor,,1,,"LGBTQIA2+ Community, LGBTQIA2+ Community"
somebody8@queensu.ca,hercules,He/him,,Sports/Health,Politics and Debate,Religious and Cultural Identity,Social Issues and Advocacy,"Art (Visual Arts, Music, Theatre, etc.)",Interests,Faculty,Gender,BIPOC Community,LGBTQIA2+ Community,mentee,Kinesiology,1,"Sports/Health, Sports/Health","Interests, Interests"
someone8@queensu.ca,captain america,He/him,Arts,Sports/Health,Academics,Politics and Debate,Social Issues and Advocacy,Religious and Cultural Identity,Interests,Faculty,BIPOC Community,LGBTQIA2+ Community,Gender,mentor,,1,"Sports/Health, Sports/Health","Interests, Interests"
somebody9@queensu.ca,zeus,He/him,,Social Issues and Advocacy,Religious and Cultural Identity,Politics and Debate,Sports/Health,"Art (Visual Arts, Music, Theatre, etc.)",Interests,Gender,BIPOC Community,LGBTQIA2+ Community,Faculty,mentee,Science,1,,"BIPOC Community, BIPOC Community"
someone9@queensu.ca,the falcon,He/him,Con-Ed Science,Social Issues and Advocacy,Politics and Debate,Religious and Cultural Identity,Sports/Health,Academics,BIPOC Community,Interests,Faculty,Gender,LGBTQIA2+ Community,mentor,,1,,"BIPOC Community, BIPOC Community"
somebody10@queensu.ca,hades,He/him,,Religious and Cultural Identity,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,Academics,Social Issues and Advocacy,Interests,Faculty,BIPOC Community,LGBTQIA2+ Community,Gender,mentee,Arts,1,,"BIPOC Community, BIPOC Community"
someone10@queensu.ca,black panther,He/him,Science,Social Issues and Advocacy,Politics and Debate,Religious and Cultural Identity,Sports/Health,Academics,BIPOC Community,Interests,Faculty,LGBTQIA2+ Community,Gender,mentor,,1,,"BIPOC Community, BIPOC Community"
lay2,lay2,He/him,,Politics and Debate,Religious and Cultural Identity,Social Issues and Advocacy,,,Faculty,,,,,mentee,Arts,0,,
